10_MIN_BLOCK,AGE_CODE,REGION,B_LOCATION_DESCRIPTION,BAND_NUM,BAND_SIZE_CODE,BAND_STATUS_CODE,BAND_TYPE_CODE,BANDING_DATE,BANDING_DAY,BANDING_MONTH,BANDING_YEAR,BANDIT_LOCATION_ID,BIRD_STATUS,B_MARKER_LONG_DESC,COMMENTS,COORD_PRECISION,COUNTRY_CODE,DIRECTION_CODE,ERRORS_COMMENTS_DESC,EXTRA_INFO_CODE,FLYWAY_CODE,HOW_AGED_CODE,HOW_SEXED_CODE,LAT_10_MIN_BLK,LAT_DECIMAL_DEGREES,LOCATION_ID,LON_10_MIN_BLK,LON_DECIMAL_DEGREES,ORIGINAL_BAND,OTHER_BANDS,PERMIT_NUM,REMARKS,SEX_CODE,SPECIES_ID,SPECIES_NAME,STATE_CODE,BILL_HEIGHT,BILL_LENGTH,BILL_WIDTH,BIRD_WEIGHT,BLOOD_SAMPLE_TAKEN,CULMEN_LENGTH,FAT_SCORE,FEATHER_SAMPLE_TAKEN,GENETIC_SAMPLE_TAKEN,TAIL_LENGTH,TARSUS_LENGTH,WEIGHT_TIME,WING_CHORD,count
5051181,1,11,"2 mi S from Revelstoke(Arrow Lakes Reservoir - Revelstoke Reach; Machete Island Banding Station), British Columbia, Canada (Bandit ID: MIBS)",278072613,0,0,41,9/24/16,24,9,2016,MIBS,3,,,0,CA,0,,0,6,,,505,50.97083,255895,1181,-118.1975,278072613,,10841,,4,6556,Unknown Yellow-rumped Warbler,2,,,,12.4,,,.,,,60,,0:00:00,76,5
5051181,2,11,"2 mi S from Revelstoke(Arrow Lakes Reservoir - Revelstoke Reach; Machete Island Banding Station), British Columbia, Canada (Bandit ID: MIBS)",278072614,0,0,41,9/24/16,24,9,2016,MIBS,3,,,0,CA,0,,0,6,,,505,50.97083,255895,1181,-118.1975,278072614,,10841,,5,6556,Unknown Yellow-rumped Warbler,2,,,,13.3,,,.,,,49,,0:00:00,66,5
5051181,2,11,"2 mi S from Revelstoke(Arrow Lakes Reservoir - Revelstoke Reach; Machete Island Banding Station), British Columbia, Canada (Bandit ID: MIBS)",278072616,0,0,41,9/24/16,24,9,2016,MIBS,3,,,0,CA,0,,0,6,,,505,50.97083,255895,1181,-118.1975,278072616,,10841,,0,6556,Unknown Yellow-rumped Warbler,2,,,,12,,,0,,,57,,0:00:00,72,5
5051181,2,11,"2 mi S from Revelstoke(Arrow Lakes Reservoir - Revelstoke Reach; Machete Island Banding Station), British Columbia, Canada (Bandit ID: MIBS)",278072620,0,0,41,9/24/16,24,9,2016,MIBS,3,,,0,CA,0,,0,6,,,505,50.97083,255895,1181,-118.1975,278072620,,10841,,5,6556,Unknown Yellow-rumped Warbler,2,,,,10.9,,,1,,,55,,0:00:00,70,5
5051181,2,11,"2 mi S from Revelstoke(Arrow Lakes Reservoir - Revelstoke Reach; Machete Island Banding Station), British Columbia, Canada (Bandit ID: MIBS)",278072621,0,0,41,9/24/16,24,9,2016,MIBS,3,,,0,CA,0,,0,6,,,505,50.97083,255895,1181,-118.1975,278072621,,10841,,5,6556,Unknown Yellow-rumped Warbler,2,,,,10.9,,,0,,,54,,0:00:00,70,5
5051181,1,11,"2 mi S from Revelstoke(Arrow Lakes Reservoir - Revelstoke Reach; Machete Island Banding Station), British Columbia, Canada (Bandit ID: MIBS)",278072622,0,0,41,9/24/16,24,9,2016,MIBS,3,,,0,CA,0,,0,6,,,505,50.97083,255895,1181,-118.1975,278072622,,10841,,5,6556,Unknown Yellow-rumped Warbler,2,,,,11.4,,,3,,,52,,0:00:00,71,5
5051181,2,11,"2 mi S from Revelstoke(Arrow Lakes Reservoir - Revelstoke Reach; Machete Island Banding Station), British Columbia, Canada (Bandit ID: MIBS)",278072623,0,0,41,9/24/16,24,9,2016,MIBS,3,,,0,CA,0,,0,6,,,505,50.97083,255895,1181,-118.1975,278072623,,10841,,5,6556,Unknown Yellow-rumped Warbler,2,,,,11.2,,,3,,,56,,0:00:00,70,5
5051181,2,11,"2 mi S from Revelstoke(Arrow Lakes Reservoir - Revelstoke Reach; Machete Island Banding Station), British Columbia, Canada (Bandit ID: MIBS)",278072624,0,0,41,9/24/16,24,9,2016,MIBS,3,,,0,CA,0,,0,6,,,505,50.97083,255895,1181,-118.1975,278072624,,10841,,5,6556,Unknown Yellow-rumped Warbler,2,,,,11.3,,,0,,,54,,0:00:00,70,5
5051181,2,11,"2 mi S from Revelstoke(Arrow Lakes Reservoir - Revelstoke Reach; Machete Island Banding Station), British Columbia, Canada (Bandit ID: MIBS)",278072626,0,0,41,9/24/16,24,9,2016,MIBS,3,,,0,CA,0,,0,6,,,505,50.97083,255895,1181,-118.1975,278072626,,10841,,5,6556,Unknown Yellow-rumped Warbler,2,,,,12.6,,,3,,,57,,0:00:00,70,5
5051181,2,11,"2 mi S from Revelstoke(Arrow Lakes Reservoir - Revelstoke Reach; Machete Island Banding Station), British Columbia, Canada (Bandit ID: MIBS)",278072627,0,0,41,9/24/16,24,9,2016,MIBS,3,,,0,CA,0,,0,6,,,505,50.97083,255895,1181,-118.1975,278072627,,10841,,4,6556,Unknown Yellow-rumped Warbler,2,,,,12.7,,,1,,,58,,0:00:00,77,5
